mri_types,dims,batch_size,is_depth_wise,is_transformed,output_size,is_multistep,val_total_ratio,is_adam,lr,net,val_loss,val_acc,val_auc,test_acc,test_auc,test_spec,test_sens,test_prec,test_0_count,test_1_count,date,test_BA,test_F1_score,is_10_fold,is_internal_dataset
['FLAIR'],3,2,True,True,1,True,0.1,True,0.0005,RSNAClassifierSingle3D,0.026,0.982,1.0,0.5200698080279232,0.5238173817381738,0.7666666666666667,0.30033003300330036,0.5909090909090909,270,303,Jan27_10-15-50,0.5334983498349836,0.3982494529540482,False,False
['KLF'],3,8,True,False,1,True,0.1,True,5e-05,RSNAClassifierSingle3D,1.21,0.7,0.756,0.5155038759689923,0.5268778005620112,0.5108225108225108,0.519298245614035,0.5670498084291188,231,285,Jan05_17-34-06,0.515060378218273,0.5421245421245421,False,True
['KLF'],2,16,True,False,1,True,0.2,True,0.0005,RSNAClassifierSingleVoting2D,1.818,0.573,0.611,0.4748062015503876,0.4911521227310701,0.8744588744588745,0.15087719298245614,0.5972222222222222,231,285,Feb04_14-01-18,0.5126680337206653,0.24089635854341734,False,True
['FLAIR'],3,8,True,True,1,False,0.2,True,0.0001,RSNAClassifierSingle3D,3.632,0.516,0.521,0.4806201550387597,0.5027568922305765,0.8138528138528138,0.21052631578947367,0.5825242718446602,231,285,Dec29_23-01-24,0.5121895648211438,0.30927835051546393,False,True
['KLF'],3,4,False,False,2,True,0.1,True,0.0005,VoxCNN,0.684,0.583,0.574,0.5058139534883721,0.5211817422343739,0.5541125541125541,0.4666666666666667,0.5635593220338984,231,285,Jan07_10-11-33,0.5103896103896104,0.510556621880998,False,True
['KLF'],3,2,True,False,1,True,0.1,True,0.0005,RSNAClassifierSingle3D,0.004,1.0,1.0,0.4973821989528796,0.5195330644175529,0.6962962962962963,0.3201320132013201,0.5418994413407822,270,303,Jan27_19-25-03,0.5082141547488082,0.40248962655601656,False,False
['KLF'],2,16,True,False,1,True,0.1,True,5e-05,RSNAClassifierSingleFake3D,0.659,0.533,0.686,0.45930232558139533,0.5195184932027037,0.9523809523809523,0.05964912280701754,0.6071428571428571,231,285,Jan06_23-32-23,0.5060150375939849,0.1086261980830671,False,True
['KLF'],2,16,True,False,1,True,0.1,True,0.0005,RSNAClassifierSingleFake3D,1.243,0.667,0.716,0.5348837209302325,0.49658995974785447,0.22077922077922077,0.7894736842105263,0.5555555555555556,231,285,Jan12_21-26-48,0.5051264524948735,0.6521739130434783,False,True
['FLAIR'],3,8,True,True,2,False,0.2,True,0.0001,RSNAClassifierSingle3D,0.672,0.625,0.689,0.4573643410852713,0.542796384901648,0.9437229437229437,0.06315789473684211,0.5806451612903226,231,285,Dec27_13-14-39,0.5034404192298929,0.11392405063291139,False,True
['KLF'],2,2,True,False,1,True,0.2,True,0.0005,RSNAClassifierSingleVoting2D,2.181,0.564,0.583,0.4903100775193798,0.5078453710032658,0.6233766233766234,0.3824561403508772,0.5561224489795918,231,285,Feb08_20-47-35,0.5029163818637503,0.4532224532224533,False,True
['KLF'],3,8,True,False,1,True,0.2,True,0.0001,RSNAClassifierSingle3D,4.028,0.55,0.56,0.5542635658914729,0.4788182577656262,0.008658008658008658,0.9964912280701754,0.5536062378167641,231,285,Jan04_03-10-56,0.502574618364092,0.711779448621554,False,True
['KLF'],2,16,True,True,2,True,0.1,True,0.0005,RSNAClassifierSingleFake3D,0.694,0.5,0.613,0.4496124031007752,0.5250550618971671,1.0,0.0035087719298245615,1.0,231,285,Jan12_02-21-47,0.5017543859649123,0.006993006993006993,False,True
['FLAIR'],3,8,True,True,2,False,0.2,True,0.0001,RSNAClassifierSingle3D,1.132,0.656,0.732,0.4496124031007752,0.5028480291638187,0.9956709956709957,0.007017543859649123,0.6666666666666666,231,285,Dec26_23-41-34,0.5013442697653224,0.01388888888888889,False,True
['KLF'],2,16,True,False,1,True,0.2,True,0.0001,RSNAClassifierSingleFake3D,0.364,0.877,0.949,0.4851657940663176,0.5291834739029458,0.7814814814814814,0.22112211221122113,0.5317460317460317,270,303,Jan27_20-54-07,0.5013017968463513,0.3123543123543124,False,False
['FLAIR'],3,4,False,True,2,False,0.2,False,0.0001,BinaryEfficientNet3D,0.669,0.648,0.687,0.5523255813953488,0.49645325434799115,0.0,1.0,0.5523255813953488,231,285,Dec26_18-48-05,0.5,0.7116104868913857,False,True
['KLF'],3,4,False,False,1,True,0.1,True,5e-05,BinaryEfficientNet3D,0.693,0.5,0.609,0.4476744186046512,0.5511657932710565,1.0,0.0,0.0,231,285,Jan06_10-48-16,0.5,0.0,False,True
['KLF'],3,2,False,False,1,True,0.2,True,1e-05,TunAIResNet,0.671,0.508,0.651,0.4476744186046512,0.5234753550543024,1.0,0.0,0.0,231,285,Jan04_11-41-16,0.5,0.0,False,True
['FLAIR'],3,4,False,False,2,False,0.2,True,0.0001,VoxCNN,0.692,0.533,0.548,0.4476744186046512,0.49166856535277587,1.0,0.0,0.0,231,285,Dec28_16-34-14,0.5,0.0,False,True
['FLAIR'],3,2,True,True,1,True,0.1,True,0.0005,RSNAClassifierSingle3D,0.012,1.0,1.0,0.4869109947643979,0.5285234078963451,0.725925925925926,0.2739273927392739,0.5286624203821656,270,303,Jan27_10-46-07,0.49992665933259994,0.36086956521739133,False,False
['KLF'],3,8,True,False,2,True,0.2,True,1e-05,RSNAClassifierSingle3D,0.697,0.533,0.567,0.47674418604651164,0.4949343054606212,0.7142857142857143,0.28421052631578947,0.5510204081632653,231,285,Jan05_13-12-24,0.4992481203007519,0.375,False,True
['T1w'],3,8,True,False,1,True,0.2,True,0.0001,RSNAClassifierSingle3D,0.964,0.541,0.589,0.4476744186046512,0.49645325434799126,0.9134199134199135,0.07017543859649122,0.5,231,285,Dec31_20-29-23,0.49179767600820234,0.12307692307692307,False,True
['KLF'],2,8,True,False,1,True,0.2,True,0.0005,RSNAAlternativeClassifierSingle2D,3.075,0.617,0.562,0.4941860465116279,0.4700994911521227,0.3852813852813853,0.5824561403508772,0.538961038961039,231,285,Feb08_23-24-39,0.4838687628161312,0.5598650927487353,False,True
['KLF'],2,4,True,False,1,True,0.2,True,0.0005,RSNAClassifierSingleVoting2D,3.187,0.579,0.651,0.4941860465116279,0.470236196551986,0.30303030303030304,0.6491228070175439,0.5346820809248555,231,285,Feb08_21-59-11,0.47607655502392343,0.5863708399366084,False,True
['KLF'],3,2,True,True,2,True,0.1,True,0.0005,RSNAClassifierSingle3D,3.111,0.583,0.673,0.4631782945736434,0.49062049062049057,0.5497835497835498,0.3929824561403509,0.5185185185185185,231,285,Jan12_10-09-22,0.47138300296195035,0.4471057884231537,False,True
['FLAIR'],3,8,False,True,2,False,0.2,False,0.0001,RSNAClassifierSingle3D,0.855,0.68,0.728,0.46124031007751937,0.489587605377079,0.41125541125541126,0.5017543859649123,0.5125448028673835,231,285,Dec28_12-24-37,0.45650489861016175,0.5070921985815602,False,True
['KLF'],3,4,True,False,1,True,0.1,True,5e-05,RSNAClassifierSingle3D,3.432,0.6,0.653,0.4631782945736434,0.4616693248272196,0.38095238095238093,0.5298245614035088,0.5136054421768708,231,285,Jan06_18-44-02,0.45538847117794484,0.5215889464594129,False,True
